# SQM interaction energies (kcal/mol)
"name"	AM1	RM1	PM3	PM6	PM6-D3H4'	PM6-D3H4	PM6-D3H4X	PM7	DFTB3	DFTB3-D3H4	DFTB3-D3H4X	GFN2-xTB
018.19_1.00_thiophene--nitromethane	5.180	6.697	11.155	-0.116	-0.896	-0.888	-0.888	2.389	1.599	-0.053	-0.053	-0.632
018.19_1.05_thiophene--nitromethane	3.550	4.758	7.856	-0.170	-0.914	-0.909	-0.909	0.854	0.447	-1.120	-1.120	-1.512
018.19_1.10_thiophene--nitromethane	2.518	3.386	5.480	-0.188	-0.934	-0.929	-0.929	-0.083	-0.054	-1.497	-1.497	-1.900
018.19_1.15_thiophene--nitromethane	1.819	2.396	3.781	-0.219	-0.991	-0.987	-0.987	-0.616	-0.220	-1.523	-1.523	-2.010
018.19_1.25_thiophene--nitromethane	0.946	1.158	1.718	-0.279	-1.100	-1.096	-1.096	-1.023	-0.189	-1.304	-1.304	-1.855
018.20_1.00_thiophene--pyridine	1.283	2.025	5.303	0.748	-0.108	-0.098	-0.098	0.057	-0.427	-1.657	-1.657	-0.394
018.20_1.05_thiophene--pyridine	0.979	1.563	4.096	0.688	-0.114	-0.104	-0.104	-0.331	-0.761	-1.991	-1.991	-0.572
018.20_1.10_thiophene--pyridine	0.794	1.202	3.165	0.623	-0.110	-0.101	-0.101	-0.588	-0.727	-1.888	-1.888	-0.607
018.20_1.15_thiophene--pyridine	0.647	0.911	2.453	0.547	-0.115	-0.108	-0.108	-0.757	-0.571	-1.584	-1.584	-0.581
018.20_1.25_thiophene--pyridine	0.400	0.505	1.508	0.402	-0.157	-0.151	-0.151	-0.926	-0.274	-1.018	-1.018	-0.457
019.01_1.00_hydrogen_sulfide--acetone	4.171	4.510	6.834	0.721	0.382	0.383	0.383	2.363	1.330	0.826	0.826	1.743
019.01_1.05_hydrogen_sulfide--acetone	3.506	3.547	5.442	1.005	0.706	0.706	0.706	1.877	0.995	0.473	0.473	1.436
019.01_1.10_hydrogen_sulfide--acetone	2.944	2.812	4.355	1.156	0.891	0.891	0.891	1.524	0.923	0.408	0.408	1.261
019.01_1.15_hydrogen_sulfide--acetone	2.485	2.261	3.516	1.196	0.955	0.956	0.956	1.276	0.937	0.487	0.487	1.149
019.01_1.25_hydrogen_sulfide--acetone	1.819	1.540	2.374	1.101	0.873	0.873	0.873	0.989	0.961	0.640	0.640	1.016
019.02_1.00_hydrogen_sulfide--furan	3.388	4.438	6.159	-0.958	-1.532	-1.520	-1.520	0.586	0.202	-0.613	-0.613	0.414
019.02_1.05_hydrogen_sulfide--furan	2.727	3.339	4.675	-0.515	-1.075	-1.062	-1.062	0.172	-0.256	-1.067	-1.067	0.050
019.02_1.10_hydrogen_sulfide--furan	2.167	2.503	3.529	-0.203	-0.729	-0.716	-0.716	-0.113	-0.313	-1.142	-1.142	-0.098
019.02_1.15_hydrogen_sulfide--furan	1.712	1.879	2.655	-0.016	-0.494	-0.482	-0.482	-0.301	-0.221	-1.000	-1.000	-0.148
019.02_1.25_hydrogen_sulfide--furan	1.072	1.083	1.502	0.115	-0.280	-0.271	-0.271	-0.453	-0.001	-0.571	-0.571	-0.130
019.03_1.00_methanethiol--acetone	3.784	4.077	5.998	1.295	0.921	0.922	0.922	2.292	1.029	0.434	0.434	1.947
019.03_1.05_methanethiol--acetone	3.159	3.226	4.761	1.466	1.139	1.139	1.139	1.880	0.884	0.292	0.292	1.692
019.03_1.10_methanethiol--acetone	2.647	2.588	3.813	1.509	1.218	1.218	1.218	1.582	0.876	0.351	0.351	1.529
019.03_1.15_methanethiol--acetone	2.238	2.114	3.093	1.468	1.198	1.198	1.198	1.372	0.896	0.458	0.458	1.417
019.03_1.25_methanethiol--acetone	1.654	1.493	2.124	1.288	1.029	1.030	1.030	1.116	0.887	0.552	0.552	1.259
019.04_1.00_methanethiol--furan	3.318	4.371	5.960	-0.730	-1.402	-1.388	-1.388	0.559	0.156	-0.779	-0.779	0.466
019.04_1.05_methanethiol--furan	2.656	3.287	4.494	-0.313	-0.955	-0.940	-0.940	0.181	-0.240	-1.163	-1.163	0.105
019.04_1.10_methanethiol--furan	2.101	2.468	3.371	-0.034	-0.627	-0.613	-0.613	-0.085	-0.280	-1.199	-1.199	-0.047
019.04_1.15_methanethiol--furan	1.655	1.859	2.522	0.121	-0.413	-0.400	-0.400	-0.263	-0.192	-1.031	-1.031	-0.101
019.04_1.25_methanethiol--furan	1.035	1.088	1.417	0.209	-0.230	-0.220	-0.220	-0.425	0.007	-0.605	-0.605	-0.088
019.05_1.00_methanol--hydrogen_sulfide	3.919	4.177	5.963	0.710	0.305	0.305	0.305	2.196	0.674	0.074	0.074	1.282
019.05_1.05_methanol--hydrogen_sulfide	3.275	3.260	4.724	0.950	0.576	0.576	0.576	1.708	0.532	-0.099	-0.099	1.049
019.05_1.10_methanol--hydrogen_sulfide	2.727	2.562	3.754	1.055	0.721	0.721	0.721	1.347	0.575	-0.021	-0.021	0.922
019.05_1.15_methanol--hydrogen_sulfide	2.276	2.036	3.000	1.062	0.762	0.762	0.762	1.085	0.654	0.148	0.148	0.844
019.05_1.25_methanol--hydrogen_sulfide	1.624	1.350	1.974	0.941	0.677	0.677	0.677	0.772	0.736	0.376	0.376	0.752
019.06_1.00_methanol--methanethiol	3.641	3.878	5.375	1.171	0.727	0.727	0.727	2.114	0.556	-0.135	-0.135	1.527
019.06_1.05_methanol--methanethiol	3.021	3.042	4.243	1.316	0.919	0.919	0.919	1.692	0.522	-0.158	-0.158	1.311
019.06_1.10_methanol--methanethiol	2.507	2.412	3.369	1.338	0.986	0.986	0.986	1.386	0.586	-0.007	-0.007	1.178
019.06_1.15_methanol--methanethiol	2.094	1.943	2.701	1.284	0.966	0.966	0.966	1.171	0.650	0.159	0.159	1.089
019.06_1.25_methanol--methanethiol	1.506	1.330	1.802	1.100	0.820	0.820	0.820	0.923	0.689	0.321	0.321	0.964
019.07_1.00_thioacetone--acetone	4.740	6.196	7.962	0.249	-0.163	-0.161	-0.161	2.376	1.840	1.276	1.276	2.537
019.07_1.05_thioacetone--acetone	4.085	5.013	6.421	0.708	0.335	0.336	0.336	1.896	1.557	0.995	0.995	2.208
019.07_1.10_thioacetone--acetone	3.502	4.089	5.193	1.021	0.689	0.690	0.690	1.550	1.532	0.953	0.953	2.008
019.07_1.15_thioacetone--acetone	3.007	3.382	4.232	1.191	0.894	0.895	0.895	1.305	1.582	1.028	1.028	1.868
019.07_1.25_thioacetone--acetone	2.262	2.425	2.904	1.249	0.989	0.990	0.990	1.030	1.640	1.234	1.234	1.666
019.08_1.00_thioacetone--furan	4.003	6.103	7.779	-1.654	-2.305	-2.291	-2.291	1.007	-0.114	-1.077	-1.077	0.655
019.08_1.05_thioacetone--furan	3.326	4.715	6.011	-1.072	-1.717	-1.702	-1.702	0.489	-0.593	-1.492	-1.492	0.204
019.08_1.10_thioacetone--furan	2.721	3.628	4.603	-0.602	-1.228	-1.213	-1.213	0.126	-0.604	-1.498	-1.498	0.016
019.08_1.15_thioacetone--furan	2.203	2.795	3.508	-0.273	-0.860	-0.845	-0.845	-0.126	-0.435	-1.340	-1.340	-0.050
019.08_1.25_thioacetone--furan	1.432	1.697	2.026	0.042	-0.445	-0.433	-0.433	-0.392	-0.059	-0.805	-0.805	-0.056
019.09_1.00_thioacetone--methanol	4.499	5.952	7.362	-0.142	-0.599	-0.598	-0.598	2.241	0.928	0.305	0.305	1.941
019.09_1.05_thioacetone--methanol	3.876	4.773	5.904	0.352	-0.093	-0.093	-0.093	1.734	0.779	0.129	0.129	1.650
019.09_1.10_thioacetone--methanol	3.303	3.847	4.734	0.682	0.269	0.270	0.270	1.356	0.874	0.195	0.195	1.492
019.09_1.15_thioacetone--methanol	2.809	3.134	3.814	0.863	0.491	0.491	0.491	1.077	1.021	0.373	0.373	1.388
019.09_1.25_thioacetone--methanol	2.056	2.169	2.535	0.944	0.633	0.634	0.634	0.736	1.206	0.734	0.734	1.241
019.10_1.00_thiophene--acetone	2.396	3.329	6.474	-0.238	-0.733	-0.730	-0.730	1.250	-0.232	-0.928	-0.928	0.454
019.10_1.05_thiophene--acetone	1.833	2.409	4.975	0.102	-0.334	-0.332	-0.332	0.842	-0.603	-1.289	-1.289	0.171
019.10_1.10_thiophene--acetone	1.375	1.730	3.829	0.312	-0.072	-0.070	-0.070	0.568	-0.636	-1.299	-1.299	0.064
019.10_1.15_thiophene--acetone	1.016	1.239	2.962	0.408	0.065	0.066	0.066	0.393	-0.543	-1.127	-1.127	0.036
019.10_1.25_thiophene--acetone	0.539	0.639	1.818	0.409	0.105	0.106	0.106	0.230	-0.322	-0.743	-0.743	0.068
019.11_1.00_thiophene--furan	2.745	3.847	6.196	-0.767	-1.563	-1.543	-1.543	0.433	0.027	-1.062	-1.062	-0.371
019.11_1.05_thiophene--furan	2.097	2.778	4.622	-0.382	-1.131	-1.111	-1.111	0.006	-0.451	-1.507	-1.507	-0.713
019.11_1.10_thiophene--furan	1.570	1.987	3.431	-0.125	-0.809	-0.791	-0.791	-0.299	-0.524	-1.556	-1.556	-0.817
019.11_1.15_thiophene--furan	1.157	1.412	2.539	0.018	-0.596	-0.579	-0.579	-0.512	-0.443	-1.379	-1.379	-0.811
019.11_1.25_thiophene--furan	0.604	0.705	1.387	0.096	-0.404	-0.392	-0.392	-0.732	-0.220	-0.904	-0.904	-0.682
019.12_1.00_thiophene--methanol	2.528	3.526	6.193	-0.346	-0.920	-0.918	-0.918	1.188	-0.378	-1.165	-1.165	0.317
019.12_1.05_thiophene--methanol	1.985	2.586	4.786	0.026	-0.504	-0.502	-0.502	0.785	-0.717	-1.512	-1.512	0.046
019.12_1.10_thiophene--methanol	1.522	1.879	3.693	0.254	-0.220	-0.219	-0.219	0.510	-0.708	-1.483	-1.483	-0.047
019.12_1.15_thiophene--methanol	1.147	1.359	2.854	0.363	-0.058	-0.057	-0.057	0.332	-0.576	-1.264	-1.264	-0.064
019.12_1.25_thiophene--methanol	0.632	0.713	1.730	0.378	0.028	0.029	0.029	0.169	-0.307	-0.796	-0.796	-0.017
019.13_1.00_water--hydrogen_sulfide	3.714	3.786	5.358	0.832	0.598	0.598	0.598	2.426	0.745	0.349	0.349	1.622
019.13_1.05_water--hydrogen_sulfide	3.114	2.970	4.283	1.018	0.810	0.810	0.810	1.946	0.648	0.227	0.227	1.376
019.13_1.10_water--hydrogen_sulfide	2.606	2.351	3.438	1.079	0.895	0.895	0.895	1.592	0.691	0.314	0.314	1.222
019.13_1.15_water--hydrogen_sulfide	2.189	1.885	2.778	1.057	0.886	0.885	0.885	1.333	0.752	0.445	0.445	1.115
019.13_1.25_water--hydrogen_sulfide	1.588	1.278	1.875	0.914	0.742	0.742	0.742	1.006	0.793	0.567	0.567	0.969
019.14_1.00_water--methanethiol	3.399	3.460	4.746	1.257	1.000	0.999	0.999	2.275	0.648	0.177	0.177	1.828
019.14_1.05_water--methanethiol	2.830	2.735	3.785	1.340	1.115	1.115	1.115	1.857	0.644	0.205	0.205	1.607
019.14_1.10_water--methanethiol	2.363	2.191	3.041	1.318	1.116	1.116	1.116	1.553	0.697	0.336	0.336	1.456
019.14_1.15_water--methanethiol	1.989	1.787	2.470	1.241	1.047	1.047	1.047	1.333	0.739	0.444	0.444	1.343
019.14_1.25_water--methanethiol	1.456	1.255	1.696	1.048	0.861	0.861	0.861	1.055	0.734	0.492	0.492	1.170
019.15_1.00_water--thioacetone	4.237	5.340	6.432	0.164	-0.108	-0.107	-0.107	2.390	1.098	0.718	0.718	2.389
019.15_1.05_water--thioacetone	3.654	4.308	5.199	0.587	0.331	0.332	0.332	1.900	1.024	0.592	0.592	2.093
019.15_1.10_water--thioacetone	3.125	3.501	4.209	0.840	0.612	0.613	0.613	1.536	1.118	0.669	0.669	1.902
019.15_1.15_water--thioacetone	2.673	2.882	3.429	0.958	0.754	0.755	0.755	1.272	1.232	0.829	0.829	1.760
019.15_1.25_water--thioacetone	1.989	2.046	2.342	0.966	0.779	0.779	0.779	0.949	1.334	1.056	1.056	1.545
019.16_1.00_water--thiophene	2.188	2.951	5.228	-0.106	-0.449	-0.448	-0.448	1.226	-0.473	-0.976	-0.976	0.586
019.16_1.05_water--thiophene	1.706	2.152	4.061	0.198	-0.108	-0.107	-0.107	0.817	-0.686	-1.214	-1.214	0.349
019.16_1.10_water--thiophene	1.301	1.558	3.155	0.363	0.095	0.096	0.096	0.543	-0.634	-1.132	-1.132	0.252
019.16_1.15_water--thiophene	0.976	1.125	2.458	0.424	0.185	0.186	0.186	0.370	-0.501	-0.921	-0.921	0.218
019.16_1.25_water--thiophene	0.536	0.592	1.521	0.393	0.174	0.175	0.175	0.220	-0.264	-0.559	-0.559	0.217
020.01_1.00_hydrogen_sulfide--CH3PCH2	3.387	4.706	2.883	3.348	3.036	3.037	3.037	2.585	-0.016	-0.594	-0.594	0.527
020.01_1.05_hydrogen_sulfide--CH3PCH2	1.675	3.609	2.604	2.101	1.835	1.836	1.836	1.220	-0.339	-0.992	-0.992	0.166
020.01_1.10_hydrogen_sulfide--CH3PCH2	1.121	2.712	2.241	1.234	0.996	0.997	0.997	0.406	-0.342	-0.973	-0.973	0.009
020.01_1.15_hydrogen_sulfide--CH3PCH2	0.978	2.042	1.881	0.699	0.470	0.470	0.470	0.013	-0.247	-0.771	-0.771	-0.048
020.01_1.25_hydrogen_sulfide--CH3PCH2	0.836	1.196	1.295	0.288	0.029	0.030	0.030	-0.037	-0.073	-0.449	-0.449	-0.031
020.02_1.00_methanethiol--CH3PCH2	3.184	4.866	3.199	3.287	2.880	2.881	2.881	2.632	-0.021	-0.742	-0.742	0.442
020.02_1.05_methanethiol--CH3PCH2	1.624	3.709	2.800	2.098	1.752	1.753	1.753	1.396	-0.310	-1.080	-1.080	0.119
020.02_1.10_methanethiol--CH3PCH2	1.145	2.791	2.363	1.277	0.970	0.970	0.970	0.663	-0.308	-1.021	-1.021	-0.013
020.02_1.15_methanethiol--CH3PCH2	1.013	2.112	1.960	0.774	0.484	0.484	0.484	0.312	-0.219	-0.806	-0.806	-0.051
020.02_1.25_methanethiol--CH3PCH2	0.862	1.255	1.335	0.388	0.082	0.083	0.083	0.250	-0.061	-0.491	-0.491	-0.013
020.03_1.00_phosphine--hydrogen_sulfide	3.243	4.572	2.868	3.697	3.497	3.497	3.497	1.893	0.081	-0.351	-0.351	0.516
020.03_1.05_phosphine--hydrogen_sulfide	1.700	3.493	2.638	2.401	2.230	2.230	2.230	0.543	-0.243	-0.759	-0.759	0.159
020.03_1.10_phosphine--hydrogen_sulfide	1.228	2.629	2.305	1.515	1.358	1.358	1.358	-0.222	-0.250	-0.744	-0.744	-0.001
020.03_1.15_phosphine--hydrogen_sulfide	1.096	1.987	1.963	0.973	0.812	0.812	0.812	-0.556	-0.161	-0.564	-0.564	-0.062
020.03_1.25_phosphine--hydrogen_sulfide	0.937	1.175	1.386	0.542	0.337	0.337	0.337	-0.511	-0.000	-0.297	-0.297	-0.049
020.04_1.00_phosphine--methanethiol	3.036	4.704	3.211	3.702	3.430	3.430	3.430	1.786	0.081	-0.465	-0.465	0.505
020.04_1.05_phosphine--methanethiol	1.655	3.579	2.853	2.464	2.232	2.232	2.232	0.552	-0.210	-0.816	-0.816	0.181
020.04_1.10_phosphine--methanethiol	1.252	2.701	2.443	1.622	1.411	1.411	1.411	-0.127	-0.213	-0.767	-0.767	0.042
020.04_1.15_phosphine--methanethiol	1.127	2.052	2.056	1.108	0.900	0.900	0.900	-0.403	-0.131	-0.582	-0.582	-0.006
020.04_1.25_phosphine--methanethiol	0.958	1.233	1.436	0.696	0.455	0.455	0.455	-0.306	0.010	-0.328	-0.328	0.020
020.05_1.00_thioacetone--CH3PCH2	6.541	6.134	2.718	4.354	3.903	3.908	3.908	3.752	-0.061	-0.716	-0.716	1.052
020.05_1.05_thioacetone--CH3PCH2	3.828	5.299	2.792	3.212	2.829	2.831	2.831	2.291	-0.648	-1.299	-1.299	0.557
020.05_1.10_thioacetone--CH3PCH2	2.002	4.185	2.592	2.164	1.833	1.834	1.834	1.173	-0.698	-1.415	-1.415	0.314
020.05_1.15_thioacetone--CH3PCH2	1.325	3.243	2.284	1.360	1.065	1.066	1.066	0.432	-0.554	-1.273	-1.273	0.198
020.05_1.25_thioacetone--CH3PCH2	1.075	1.993	1.664	0.509	0.231	0.232	0.232	-0.111	-0.225	-0.739	-0.739	0.130
020.06_1.00_thioacetone--phosphine	6.193	6.055	2.593	4.696	4.400	4.402	4.402	3.061	0.086	-0.367	-0.367	0.960
020.06_1.05_thioacetone--phosphine	3.504	5.098	2.734	3.461	3.212	3.213	3.213	1.559	-0.449	-0.937	-0.937	0.514
020.06_1.10_thioacetone--phosphine	1.947	4.003	2.586	2.396	2.180	2.181	2.181	0.481	-0.490	-1.058	-1.058	0.296
020.06_1.15_thioacetone--phosphine	1.428	3.111	2.318	1.607	1.411	1.411	1.411	-0.185	-0.354	-0.912	-0.912	0.189
020.06_1.25_thioacetone--phosphine	1.209	1.935	1.741	0.795	0.589	0.589	0.589	-0.583	-0.059	-0.446	-0.446	0.124
020.07_1.00_thiophene--CH3PCH2	2.187	4.484	3.324	3.015	2.487	2.492	2.492	2.138	0.188	-0.679	-0.679	-0.265
020.07_1.05_thiophene--CH3PCH2	0.542	3.293	2.765	1.778	1.329	1.332	1.332	0.761	-0.243	-1.138	-1.138	-0.621
020.07_1.10_thiophene--CH3PCH2	0.059	2.351	2.230	0.926	0.532	0.535	0.535	-0.059	-0.309	-1.141	-1.141	-0.732
020.07_1.15_thiophene--CH3PCH2	-0.014	1.668	1.769	0.410	0.048	0.050	0.050	-0.459	-0.248	-0.942	-0.942	-0.726
020.07_1.25_thiophene--CH3PCH2	-0.022	0.835	1.096	0.036	-0.323	-0.320	-0.320	-0.555	-0.100	-0.600	-0.600	-0.585
020.08_1.00_thiophene--phosphine	1.536	4.077	3.137	2.934	2.574	2.577	2.577	1.522	0.107	-0.563	-0.563	-0.122
020.08_1.05_thiophene--phosphine	0.294	2.955	2.628	1.723	1.416	1.419	1.419	0.284	-0.250	-0.957	-0.957	-0.442
020.08_1.10_thiophene--phosphine	0.003	2.101	2.136	0.923	0.649	0.651	0.651	-0.373	-0.288	-0.923	-0.923	-0.546
020.08_1.15_thiophene--phosphine	-0.027	1.486	1.710	0.458	0.195	0.197	0.197	-0.618	-0.223	-0.740	-0.740	-0.547
020.08_1.25_thiophene--phosphine	-0.026	0.741	1.084	0.139	-0.143	-0.142	-0.142	-0.477	-0.086	-0.474	-0.474	-0.428
020.09_1.00_trimethylphosphine--hydrogen_sulfide	2.832	4.433	3.081	3.358	2.879	2.879	2.879	2.509	-0.269	-1.091	-1.091	0.440
020.09_1.05_trimethylphosphine--hydrogen_sulfide	1.423	3.377	2.760	2.181	1.775	1.775	1.775	1.139	-0.492	-1.329	-1.329	0.153
020.09_1.10_trimethylphosphine--hydrogen_sulfide	1.020	2.534	2.372	1.370	1.015	1.015	1.015	0.358	-0.435	-1.187	-1.187	0.058
020.09_1.15_trimethylphosphine--hydrogen_sulfide	0.914	1.909	1.998	0.875	0.547	0.547	0.547	0.013	-0.307	-0.923	-0.923	0.049
020.09_1.25_trimethylphosphine--hydrogen_sulfide	0.781	1.119	1.394	0.493	0.167	0.167	0.167	0.036	-0.109	-0.560	-0.560	0.111
020.10_1.00_trimethylphosphine--methanethiol	2.362	4.402	3.355	3.193	2.624	2.624	2.624	2.423	-0.316	-1.293	-1.293	0.529
020.10_1.05_trimethylphosphine--methanethiol	1.297	3.318	2.895	2.121	1.637	1.638	1.638	1.273	-0.453	-1.400	-1.400	0.292
020.10_1.10_trimethylphosphine--methanethiol	1.021	2.489	2.432	1.400	0.975	0.975	0.975	0.649	-0.376	-1.190	-1.190	0.218
020.10_1.15_trimethylphosphine--methanethiol	0.930	1.881	2.019	0.971	0.577	0.578	0.578	0.397	-0.256	-0.920	-0.920	0.214
020.10_1.25_trimethylphosphine--methanethiol	0.787	1.119	1.391	0.642	0.267	0.268	0.268	0.437	-0.087	-0.590	-0.590	0.265
020.11_1.00_trimethylphosphine--thioacetone	5.921	5.997	2.913	4.011	3.331	3.335	3.335	3.363	-0.528	-1.501	-1.501	1.042
020.11_1.05_trimethylphosphine--thioacetone	3.284	5.074	2.950	3.069	2.491	2.493	2.493	1.956	-0.960	-1.885	-1.885	0.649
020.11_1.10_trimethylphosphine--thioacetone	1.716	3.978	2.731	2.161	1.666	1.667	1.667	0.920	-0.907	-1.845	-1.845	0.480
020.11_1.15_trimethylphosphine--thioacetone	1.199	3.081	2.415	1.457	1.023	1.024	1.024	0.272	-0.697	-1.571	-1.571	0.420
020.11_1.25_trimethylphosphine--thioacetone	1.009	1.895	1.786	0.712	0.333	0.334	0.334	-0.109	-0.304	-0.919	-0.919	0.416
020.12_1.00_trimethylphosphine--thiophene	1.465	4.068	3.381	2.589	1.873	1.878	1.878	1.810	-0.074	-1.223	-1.223	-0.445
020.12_1.05_trimethylphosphine--thiophene	0.286	2.936	2.774	1.494	0.886	0.890	0.890	0.542	-0.353	-1.457	-1.457	-0.701
020.12_1.10_trimethylphosphine--thiophene	0.017	2.081	2.221	0.768	0.239	0.242	0.242	-0.164	-0.342	-1.303	-1.303	-0.738
020.12_1.15_trimethylphosphine--thiophene	-0.013	1.467	1.758	0.349	-0.131	-0.128	-0.128	-0.469	-0.249	-1.038	-1.038	-0.681
020.12_1.25_trimethylphosphine--thiophene	-0.019	0.726	1.096	0.076	-0.363	-0.360	-0.360	-0.477	-0.088	-0.674	-0.674	-0.494
021.01_1.00_hydrogen_sulfide--hydrogen_sulfide	0.560	1.910	1.589	2.272	2.103	2.103	2.103	1.275	0.050	-0.239	-0.239	1.008
021.01_1.05_hydrogen_sulfide--hydrogen_sulfide	0.802	1.533	1.685	1.728	1.586	1.586	1.586	0.766	-0.235	-0.582	-0.582	0.520
021.01_1.10_hydrogen_sulfide--hydrogen_sulfide	0.900	1.226	1.638	1.212	1.088	1.088	1.088	0.458	-0.184	-0.605	-0.605	0.249
021.01_1.15_hydrogen_sulfide--hydrogen_sulfide	0.911	0.985	1.515	0.810	0.692	0.692	0.692	0.292	-0.033	-0.434	-0.434	0.095
021.01_1.25_hydrogen_sulfide--hydrogen_sulfide	0.818	0.660	1.204	0.385	0.237	0.237	0.237	0.174	0.220	-0.053	-0.053	-0.008
021.02_1.00_methanethiol--hydrogen_sulfide	0.615	1.997	1.821	2.473	2.227	2.227	2.227	1.336	0.044	-0.352	-0.352	1.004
021.02_1.05_methanethiol--hydrogen_sulfide	0.851	1.617	1.849	1.906	1.699	1.699	1.699	0.839	-0.226	-0.666	-0.666	0.538
021.02_1.10_methanethiol--hydrogen_sulfide	0.942	1.307	1.758	1.373	1.193	1.193	1.193	0.542	-0.174	-0.671	-0.671	0.285
021.02_1.15_methanethiol--hydrogen_sulfide	0.947	1.062	1.606	0.959	0.793	0.793	0.793	0.383	-0.026	-0.487	-0.487	0.146
021.02_1.25_methanethiol--hydrogen_sulfide	0.846	0.727	1.264	0.513	0.328	0.328	0.328	0.273	0.216	-0.099	-0.099	0.063
021.03_1.00_methanethiol--methanethiol	0.698	2.088	2.073	2.660	2.336	2.336	2.336	1.435	-0.008	-0.518	-0.518	1.030
021.03_1.05_methanethiol--methanethiol	0.912	1.699	2.018	2.066	1.793	1.793	1.793	0.958	-0.230	-0.773	-0.773	0.590
021.03_1.10_methanethiol--methanethiol	0.987	1.382	1.873	1.522	1.285	1.285	1.285	0.669	-0.161	-0.738	-0.738	0.354
021.03_1.15_methanethiol--methanethiol	0.981	1.132	1.686	1.103	0.886	0.886	0.886	0.507	-0.014	-0.531	-0.531	0.227
021.03_1.25_methanethiol--methanethiol	0.866	0.790	1.309	0.648	0.423	0.423	0.423	0.358	0.214	-0.142	-0.142	0.157
021.04_1.00_thioacetone--hydrogen_sulfide	0.379	2.664	1.427	2.098	1.859	1.861	1.861	1.342	0.225	-0.121	-0.121	1.573
021.04_1.05_thioacetone--hydrogen_sulfide	0.747	2.176	1.644	1.814	1.613	1.614	1.614	0.850	-0.109	-0.458	-0.458	0.984
021.04_1.10_thioacetone--hydrogen_sulfide	0.936	1.781	1.690	1.395	1.222	1.222	1.222	0.518	-0.055	-0.473	-0.473	0.646
021.04_1.15_thioacetone--hydrogen_sulfide	1.007	1.469	1.629	0.990	0.835	0.835	0.835	0.319	0.127	-0.346	-0.346	0.442
021.04_1.25_thioacetone--hydrogen_sulfide	0.974	1.037	1.373	0.471	0.313	0.313	0.313	0.168	0.447	0.088	0.088	0.249
021.05_1.00_thioacetone--methanethiol	0.402	2.806	1.648	2.359	2.024	2.026	2.026	1.412	0.152	-0.326	-0.326	1.665
021.05_1.05_thioacetone--methanethiol	0.775	2.310	1.804	2.039	1.755	1.756	1.756	0.912	-0.148	-0.613	-0.613	1.094
021.05_1.10_thioacetone--methanethiol	0.964	1.909	1.808	1.594	1.350	1.350	1.350	0.575	-0.080	-0.598	-0.598	0.769
021.05_1.15_thioacetone--methanethiol	1.035	1.590	1.719	1.170	0.953	0.954	0.954	0.372	0.106	-0.448	-0.448	0.574
021.05_1.25_thioacetone--methanethiol	0.998	1.145	1.434	0.626	0.421	0.422	0.422	0.212	0.423	0.009	0.009	0.391
021.06_1.00_thioacetone--thioacetone	0.184	3.891	1.442	2.325	1.991	1.996	1.996	1.905	0.608	0.159	0.159	2.380
021.06_1.05_thioacetone--thioacetone	0.723	3.244	1.754	2.245	1.959	1.962	1.962	1.341	0.234	-0.176	-0.176	1.698
021.06_1.10_thioacetone--thioacetone	1.030	2.722	1.875	1.913	1.667	1.668	1.668	0.915	0.293	-0.129	-0.129	1.283
021.06_1.15_thioacetone--thioacetone	1.179	2.306	1.865	1.495	1.278	1.279	1.279	0.626	0.504	0.012	0.012	1.019
021.06_1.25_thioacetone--thioacetone	1.220	1.716	1.654	0.814	0.625	0.626	0.626	0.356	0.896	0.414	0.414	0.718
021.07_1.00_thiophene--hydrogen_sulfide	-0.695	1.494	1.454	2.105	1.739	1.742	1.742	0.947	-0.141	-0.677	-0.677	0.651
021.07_1.05_thiophene--hydrogen_sulfide	-0.306	1.131	1.468	1.607	1.300	1.302	1.302	0.395	-0.699	-1.224	-1.224	0.080
021.07_1.10_thiophene--hydrogen_sulfide	-0.089	0.836	1.377	1.087	0.824	0.826	0.826	0.071	-0.761	-1.335	-1.335	-0.205
021.07_1.15_thiophene--hydrogen_sulfide	0.020	0.608	1.231	0.652	0.420	0.422	0.422	-0.091	-0.631	-1.201	-1.201	-0.341
021.07_1.25_thiophene--hydrogen_sulfide	0.076	0.311	0.907	0.162	-0.058	-0.057	-0.057	-0.159	-0.310	-0.713	-0.713	-0.391
021.08_1.00_thiophene--methanethiol	-0.718	1.555	1.740	2.247	1.768	1.772	1.772	0.940	-0.090	-0.775	-0.775	0.739
021.08_1.05_thiophene--methanethiol	-0.318	1.172	1.667	1.747	1.344	1.347	1.347	0.339	-0.678	-1.326	-1.326	0.140
021.08_1.10_thiophene--methanethiol	-0.095	0.866	1.517	1.216	0.871	0.874	0.874	-0.036	-0.757	-1.434	-1.434	-0.157
021.08_1.15_thiophene--methanethiol	0.017	0.629	1.331	0.765	0.463	0.465	0.465	-0.247	-0.634	-1.296	-1.296	-0.299
021.08_1.25_thiophene--methanethiol	0.077	0.323	0.964	0.241	-0.029	-0.027	-0.027	-0.400	-0.315	-0.787	-0.787	-0.353
021.09_1.00_thiophene--thioacetone	-1.124	1.976	1.260	1.812	1.323	1.330	1.330	1.116	-0.502	-1.175	-1.175	1.030
021.09_1.05_thiophene--thioacetone	-0.602	1.491	1.383	1.647	1.231	1.236	1.236	0.547	-1.118	-1.725	-1.725	0.333
