# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
3.03.03_0.80	2.902	2.864	2.882	2.859	2.858	-2.106	-2.632	-2.495	-2.766	-2.810	-2.865	-2.856	-0.986	-1.119	-1.306	-1.326	-1.227	-1.268	-1.401	-1.365	-1.435	-1.375	-1.470	-1.394	-1.470	-1.386	-1.987	-1.752	-2.371	-2.076
3.03.03_0.85	1.888	1.864	~~~	1.860	~~~	-1.742	-2.155	~~~	-2.261	~~~	-2.339	~~~	-0.818	-0.924	-1.066	-1.088	~~~	~~~	-1.141	-1.120	~~~	~~~	-1.195	-1.144	~~~	~~~	-1.654	-1.458	~~~	~~~
3.03.03_0.90	1.192	1.178	~~~	1.176	~~~	-1.440	-1.763	~~~	-1.846	~~~	-1.908	~~~	-0.678	-0.762	-0.870	-0.893	~~~	~~~	-0.928	-0.918	~~~	~~~	-0.971	-0.937	~~~	~~~	-1.375	-1.212	~~~	~~~
3.03.03_0.95	0.723	0.716	~~~	0.714	~~~	-1.190	-1.442	~~~	-1.508	~~~	-1.556	~~~	-0.562	-0.628	-0.710	-0.732	~~~	~~~	-0.755	-0.753	~~~	~~~	-0.788	-0.768	~~~	~~~	-1.142	-1.006	~~~	~~~
3.03.03_1.00	0.412	0.409	0.424	0.408	0.408	-0.984	-1.180	-1.086	-1.231	-1.247	-1.269	-1.264	-0.465	-0.518	-0.579	-0.600	-0.528	-0.558	-0.614	-0.617	-0.626	-0.621	-0.640	-0.629	-0.638	-0.626	-0.948	-0.834	-1.040	-0.907
3.03.03_1.05	0.211	0.209	~~~	0.208	~~~	-0.813	-0.966	~~~	-1.006	~~~	-1.036	~~~	-0.385	-0.428	-0.473	-0.493	~~~	~~~	-0.500	-0.506	~~~	~~~	-0.520	-0.516	~~~	~~~	-0.786	-0.692	~~~	~~~
3.03.03_1.10	0.084	0.082	~~~	0.082	~~~	-0.673	-0.792	~~~	-0.824	~~~	-0.847	~~~	-0.319	-0.354	-0.387	-0.405	~~~	~~~	-0.408	-0.416	~~~	~~~	-0.423	-0.424	~~~	~~~	-0.652	-0.574	~~~	~~~
3.03.03_1.25	-0.062	-0.067	~~~	-0.067	~~~	-0.384	-0.442	~~~	-0.458	~~~	-0.469	~~~	-0.182	-0.202	-0.214	-0.228	~~~	~~~	-0.224	-0.234	~~~	~~~	-0.231	-0.238	~~~	~~~	-0.374	-0.328	~~~	~~~
3.03.03_1.50	-0.065	-0.071	~~~	-0.071	~~~	-0.160	-0.178	~~~	-0.183	~~~	-0.187	~~~	-0.075	-0.084	-0.085	-0.093	~~~	~~~	-0.088	-0.095	~~~	~~~	-0.090	-0.097	~~~	~~~	-0.155	-0.136	~~~	~~~
3.03.03_2.00	-0.022	-0.025	~~~	-0.024	~~~	-0.036	-0.038	~~~	-0.039	~~~	-0.040	~~~	-0.016	-0.019	-0.018	-0.021	~~~	~~~	-0.018	-0.021	~~~	~~~	-0.019	-0.021	~~~	~~~	-0.034	-0.030	~~~	~~~
3.04.02_0.80	4.165	4.111	4.128	4.093	4.091	-1.608	-2.394	-2.276	-2.596	-2.666	-2.744	-2.739	-0.726	-0.882	-1.211	-1.183	-1.142	-1.134	-1.348	-1.248	-1.400	-1.266	-1.448	-1.296	-1.454	-1.285	-1.552	-1.390	-2.207	-1.969
3.04.02_0.85	2.386	2.356	~~~	2.342	~~~	-1.259	-1.823	~~~	-1.967	~~~	-2.072	~~~	-0.580	-0.678	-0.925	-0.898	~~~	~~~	-1.021	-0.947	~~~	~~~	-1.090	-0.982	~~~	~~~	-1.225	-1.096	~~~	~~~
3.04.02_0.90	1.323	1.309	~~~	1.298	~~~	-0.988	-1.390	~~~	-1.491	~~~	-1.565	~~~	-0.465	-0.524	-0.706	-0.684	~~~	~~~	-0.772	-0.719	~~~	~~~	-0.820	-0.745	~~~	~~~	-0.969	-0.866	~~~	~~~
3.04.02_0.95	0.702	0.698	~~~	0.689	~~~	-0.778	-1.060	~~~	-1.132	~~~	-1.184	~~~	-0.371	-0.406	-0.538	-0.521	~~~	~~~	-0.584	-0.547	~~~	~~~	-0.618	-0.566	~~~	~~~	-0.766	-0.683	~~~	~~~
3.04.02_1.00	0.349	0.348	0.361	0.342	0.343	-0.612	-0.809	-0.742	-0.860	-0.875	-0.898	-0.891	-0.296	-0.316	-0.411	-0.399	-0.374	-0.368	-0.443	-0.418	-0.453	-0.422	-0.466	-0.432	-0.464	-0.427	-0.605	-0.538	-0.722	-0.636
3.04.02_1.05	0.154	0.154	~~~	0.150	~~~	-0.482	-0.620	~~~	-0.656	~~~	-0.683	~~~	-0.235	-0.247	-0.314	-0.306	~~~	~~~	-0.336	-0.320	~~~	~~~	-0.352	-0.330	~~~	~~~	-0.477	-0.424	~~~	~~~
3.04.02_1.10	0.051	0.050	~~~	0.048	~~~	-0.380	-0.477	~~~	-0.503	~~~	-0.522	~~~	-0.186	-0.194	-0.241	-0.236	~~~	~~~	-0.256	-0.246	~~~	~~~	-0.267	-0.254	~~~	~~~	-0.376	-0.334	~~~	~~~
3.04.02_1.25	-0.033	-0.036	~~~	-0.036	~~~	-0.189	-0.224	~~~	-0.234	~~~	-0.240	~~~	-0.093	-0.096	-0.112	-0.112	~~~	~~~	-0.117	-0.116	~~~	~~~	-0.121	-0.119	~~~	~~~	-0.187	-0.165	~~~	~~~
3.04.02_1.50	-0.022	-0.023	~~~	-0.023	~~~	-0.065	-0.074	~~~	-0.076	~~~	-0.077	~~~	-0.032	-0.033	-0.037	-0.037	~~~	~~~	-0.038	-0.038	~~~	~~~	-0.038	-0.039	~~~	~~~	-0.064	-0.056	~~~	~~~
3.04.02_2.00	-0.004	-0.004	~~~	-0.004	~~~	-0.012	-0.013	~~~	-0.013	~~~	-0.014	~~~	-0.006	-0.006	-0.007	-0.007	~~~	~~~	-0.007	-0.007	~~~	~~~	-0.007	-0.007	~~~	~~~	-0.012	-0.010	~~~	~~~
3.05.01_0.80	18.824	18.694	18.702	18.685	18.680	-16.413	-18.172	-18.003	-18.647	-18.818	-18.994	-18.997	-8.238	-8.174	-9.335	-8.837	-9.233	-8.770	-9.681	-8.966	-9.816	-9.001	-9.933	-9.061	-9.959	-9.038	-14.233	-12.144	-15.794	-13.361
3.05.01_0.85	11.916	11.842	~~~	11.836	~~~	-13.345	-14.620	~~~	-14.962	~~~	-15.212	~~~	-6.714	-6.632	-7.496	-7.124	~~~	~~~	-7.742	-7.220	~~~	~~~	-7.922	-7.290	~~~	~~~	-11.672	-9.944	~~~	~~~
3.05.01_0.90	7.500	7.466	~~~	7.461	~~~	-10.859	-11.780	~~~	-12.027	~~~	-12.207	~~~	-5.472	-5.387	-6.029	-5.752	~~~	~~~	-6.204	-5.824	~~~	~~~	-6.331	-5.876	~~~	~~~	-9.564	-8.136	~~~	~~~
3.05.01_0.95	4.697	4.689	~~~	4.685	~~~	-8.844	-9.511	~~~	-9.689	~~~	-9.819	~~~	-4.462	-4.383	-4.858	-4.653	~~~	~~~	-4.982	-4.707	~~~	~~~	-5.073	-4.746	~~~	~~~	-7.834	-6.653	~~~	~~~
3.05.01_1.00	2.932	2.936	2.946	2.933	2.933	-7.215	-7.696	-7.604	-7.826	-7.869	-7.920	-7.915	-3.642	-3.573	-3.923	-3.773	-3.870	-3.734	-4.012	-3.814	-4.045	-3.824	-4.077	-3.844	-4.079	-3.835	-6.417	-5.442	-6.771	-5.675
3.05.01_1.05	1.826	1.836	~~~	1.834	~~~	-5.897	-6.246	~~~	-6.340	~~~	-6.409	~~~	-2.977	-2.920	-3.178	-3.068	~~~	~~~	-3.241	-3.099	~~~	~~~	-3.287	-3.122	~~~	~~~	-5.260	-4.455	~~~	~~~
3.05.01_1.10	1.138	1.148	~~~	1.147	~~~	-4.832	-5.085	~~~	-5.154	~~~	-5.204	~~~	-2.438	-2.393	-2.582	-2.502	~~~	~~~	-2.628	-2.526	~~~	~~~	-2.661	-2.544	~~~	~~~	-4.318	-3.652	~~~	~~~
3.05.01_1.25	0.283	0.291	~~~	0.292	~~~	-2.707	-2.809	~~~	-2.836	~~~	-2.856	~~~	-1.363	-1.344	-1.420	-1.390	~~~	~~~	-1.436	-1.400	~~~	~~~	-1.448	-1.407	~~~	~~~	-2.419	-2.041	~~~	~~~
3.05.01_1.50	0.046	0.052	~~~	0.053	~~~	-1.114	-1.144	~~~	-1.150	~~~	-1.154	~~~	-0.559	-0.555	-0.575	-0.569	~~~	~~~	-0.579	-0.571	~~~	~~~	-0.581	-0.573	~~~	~~~	-0.985	-0.830	~~~	~~~
3.05.01_2.00	0.018	0.019	~~~	0.019	~~~	-0.257	-0.262	~~~	-0.263	~~~	-0.263	~~~	-0.129	-0.128	-0.132	-0.130	~~~	~~~	-0.132	-0.130	~~~	~~~	-0.132	-0.131	~~~	~~~	-0.223	-0.188	~~~	~~~
3.05.04_0.80	5.332	5.390	5.374	5.390	5.388	-3.880	-4.412	-4.330	-4.556	-4.608	-4.661	-4.662	-1.880	-2.000	-2.219	-2.193	-2.170	-2.160	-2.322	-2.234	-2.362	-2.246	-2.397	-2.264	-2.405	-2.258	-4.074	-3.477	-4.573	-3.875
3.05.04_0.85	3.438	3.468	~~~	3.470	~~~	-3.179	-3.565	~~~	-3.664	~~~	-3.736	~~~	-1.556	-1.622	-1.799	-1.766	~~~	~~~	-1.869	-1.795	~~~	~~~	-1.920	-1.816	~~~	~~~	-3.364	-2.869	~~~	~~~
3.05.04_0.90	2.209	2.225	~~~	2.228	~~~	-2.608	-2.889	~~~	-2.957	~~~	-3.006	~~~	-1.288	-1.320	-1.461	-1.428	~~~	~~~	-1.509	-1.448	~~~	~~~	-1.544	-1.463	~~~	~~~	-2.774	-2.366	~~~	~~~
3.05.04_0.95	1.416	1.426	~~~	1.430	~~~	-2.143	-2.348	~~~	-2.395	~~~	-2.429	~~~	-1.066	-1.077	-1.190	-1.158	~~~	~~~	-1.222	-1.173	~~~	~~~	-1.246	-1.183	~~~	~~~	-2.286	-1.949	~~~	~~~
3.05.04_1.00	0.906	0.916	0.913	0.919	0.919	-1.764	-1.914	-1.870	-1.947	-1.961	-1.971	-1.976	-0.882	-0.882	-0.971	-0.943	-0.946	-0.924	-0.993	-0.954	-1.003	-0.958	-1.009	-0.961	-1.014	-0.962	-1.883	-1.605	-1.996	-1.680
3.05.04_1.05	0.580	0.591	~~~	0.593	~~~	-1.455	-1.566	~~~	-1.590	~~~	-1.606	~~~	-0.731	-0.724	-0.795	-0.771	~~~	~~~	-0.810	-0.779	~~~	~~~	-0.822	-0.785	~~~	~~~	-1.552	-1.323	~~~	~~~
3.05.04_1.10	0.374	0.384	~~~	0.386	~~~	-1.203	-1.286	~~~	-1.303	~~~	-1.316	~~~	-0.606	-0.597	-0.653	-0.633	~~~	~~~	-0.664	-0.639	~~~	~~~	-0.672	-0.644	~~~	~~~	-1.280	-1.091	~~~	~~~
3.05.04_1.25	0.111	0.116	~~~	0.117	~~~	-0.692	-0.731	~~~	-0.738	~~~	-0.743	~~~	-0.350	-0.342	-0.371	-0.360	~~~	~~~	-0.375	-0.363	~~~	~~~	-0.378	-0.365	~~~	~~~	-0.729	-0.622	~~~	~~~
3.05.04_1.50	0.026	0.027	~~~	0.027	~~~	-0.298	-0.311	~~~	-0.313	~~~	-0.314	~~~	-0.151	-0.147	-0.158	-0.153	~~~	~~~	-0.158	-0.154	~~~	~~~	-0.159	-0.155	~~~	~~~	-0.308	-0.263	~~~	~~~
3.05.04_2.00	0.006	0.006	~~~	0.006	~~~	-0.074	-0.076	~~~	-0.076	~~~	-0.076	~~~	-0.038	-0.036	-0.038	-0.038	~~~	~~~	-0.039	-0.038	~~~	~~~	-0.039	-0.038	~~~	~~~	-0.074	-0.063	~~~	~~~
3.05.09_0.80	4.957	4.991	4.988	4.984	4.984	-3.949	-4.446	-4.383	-4.607	-4.662	-4.724	-4.720	-1.902	-2.047	-2.213	-2.234	-2.176	-2.207	-2.325	-2.282	-2.368	-2.295	-2.408	-2.317	-2.412	-2.308	-3.474	-2.934	-3.948	-3.316
3.05.09_0.85	3.425	3.452	~~~	3.448	~~~	-3.249	-3.635	~~~	-3.759	~~~	-3.850	~~~	-1.576	-1.673	-1.814	-1.821	~~~	~~~	-1.900	-1.860	~~~	~~~	-1.962	-1.888	~~~	~~~	-2.886	-2.442	~~~	~~~
3.05.09_0.90	2.355	2.376	~~~	2.375	~~~	-2.678	-2.977	~~~	-3.073	~~~	-3.143	~~~	-1.307	-1.371	-1.489	-1.488	~~~	~~~	-1.554	-1.518	~~~	~~~	-1.602	-1.541	~~~	~~~	-2.398	-2.032	~~~	~~~
3.05.09_0.95	1.613	1.628	~~~	1.629	~~~	-2.211	-2.444	~~~	-2.517	~~~	-2.571	~~~	-1.086	-1.126	-1.225	-1.219	~~~	~~~	-1.274	-1.243	~~~	~~~	-1.310	-1.261	~~~	~~~	-1.994	-1.693	~~~	~~~
3.05.09_1.00	1.102	1.112	1.111	1.114	1.113	-1.831	-2.012	-1.971	-2.067	-2.086	-2.108	-2.104	-0.903	-0.927	-1.010	-1.001	-0.987	-0.984	-1.047	-1.020	-1.060	-1.025	-1.074	-1.034	-1.074	-1.031	-1.661	-1.411	-1.813	-1.524
3.05.09_1.05	0.751	0.758	~~~	0.760	~~~	-1.519	-1.661	~~~	-1.703	~~~	-1.733	~~~	-0.753	-0.766	-0.835	-0.826	~~~	~~~	-0.862	-0.840	~~~	~~~	-0.882	-0.851	~~~	~~~	-1.384	-1.178	~~~	~~~
3.05.09_1.10	0.511	0.516	~~~	0.518	~~~	-1.264	-1.376	~~~	-1.407	~~~	-1.430	~~~	-0.629	-0.636	-0.692	-0.683	~~~	~~~	-0.712	-0.695	~~~	~~~	-0.727	-0.703	~~~	~~~	-1.156	-0.984	~~~	~~~
3.05.09_1.25	0.162	0.164	~~~	0.164	~~~	-0.742	-0.799	~~~	-0.812	~~~	-0.822	~~~	-0.371	-0.371	-0.402	-0.397	~~~	~~~	-0.410	-0.402	~~~	~~~	-0.416	-0.406	~~~	~~~	-0.680	-0.580	~~~	~~~
3.05.09_1.50	0.028	0.028	~~~	0.028	~~~	-0.327	-0.349	~~~	-0.353	~~~	-0.356	~~~	-0.164	-0.163	-0.175	-0.174	~~~	~~~	-0.177	-0.176	~~~	~~~	-0.179	-0.177	~~~	~~~	-0.296	-0.253	~~~	~~~
3.05.09_2.00	0.004	0.004	~~~	0.004	~~~	-0.084	-0.088	~~~	-0.089	~~~	-0.090	~~~	-0.042	-0.042	-0.044	-0.044	~~~	~~~	-0.044	-0.045	~~~	~~~	-0.045	-0.045	~~~	~~~	-0.074	-0.063	~~~	~~~
3.05.11_0.80	8.035	7.988	7.986	7.986	7.982	-7.792	-8.912	-8.795	-9.233	-9.348	-9.468	-9.469	-3.735	-4.056	-4.455	-4.457	-4.382	-4.413	-4.694	-4.540	-4.786	-4.562	-4.868	-4.600	-4.883	-4.586	-6.727	-5.768	-7.741	-6.600
3.05.11_0.85	4.807	4.797	~~~	4.795	~~~	-6.397	-7.268	~~~	-7.516	~~~	-7.696	~~~	-3.051	-3.346	-3.606	-3.661	~~~	~~~	-3.790	-3.726	~~~	~~~	-3.924	-3.773	~~~	~~~	-5.564	-4.762	~~~	~~~
3.05.11_0.90	2.652	2.668	~~~	2.668	~~~	-5.252	-5.930	~~~	-6.121	~~~	-6.260	~~~	-2.491	-2.761	-2.921	-3.009	~~~	~~~	-3.062	-3.059	~~~	~~~	-3.165	-3.096	~~~	~~~	-4.596	-3.927	~~~	~~~
3.05.11_0.95	1.241	1.274	~~~	1.274	~~~	-4.313	-4.843	~~~	-4.990	~~~	-5.098	~~~	-2.034	-2.279	-2.368	-2.475	~~~	~~~	-2.477	-2.514	~~~	~~~	-2.556	-2.542	~~~	~~~	-3.794	-3.235	~~~	~~~
3.05.11_1.00	0.337	0.380	0.378	0.381	0.380	-3.544	-3.960	-3.888	-4.074	-4.113	-4.157	-4.154	-1.661	-1.883	-1.922	-2.038	-1.880	-2.009	-2.006	-2.068	-2.037	-2.076	-2.067	-2.090	-2.070	-2.085	-3.128	-2.662	-3.471	-2.936
3.05.11_1.05	-0.223	-0.176	~~~	-0.174	~~~	-2.914	-3.242	~~~	-3.331	~~~	-3.395	~~~	-1.356	-1.558	-1.562	-1.680	~~~	~~~	-1.627	-1.704	~~~	~~~	-1.674	-1.721	~~~	~~~	-2.578	-2.190	~~~	~~~
3.05.11_1.10	-0.556	-0.507	~~~	-0.504	~~~	-2.398	-2.659	~~~	-2.729	~~~	-2.779	~~~	-1.107	-1.290	-1.271	-1.388	~~~	~~~	-1.322	-1.406	~~~	~~~	-1.359	-1.420	~~~	~~~	-2.124	-1.801	~~~	~~~
3.05.11_1.25	-0.849	-0.801	~~~	-0.796	~~~	-1.347	-1.486	~~~	-1.521	~~~	-1.547	~~~	-0.604	-0.743	-0.692	-0.794	~~~	~~~	-0.718	-0.803	~~~	~~~	-0.738	-0.809	~~~	~~~	-1.188	-1.002	~~~	~~~
3.05.11_1.50	-0.649	-0.616	~~~	-0.612	~~~	-0.536	-0.594	~~~	-0.608	~~~	-0.619	~~~	-0.224	-0.312	-0.262	-0.332	~~~	~~~	-0.273	-0.335	~~~	~~~	-0.282	-0.338	~~~	~~~	-0.461	-0.386	~~~	~~~
3.05.11_2.00	-0.276	-0.265	~~~	-0.264	~~~	-0.101	-0.117	~~~	-0.122	~~~	-0.125	~~~	-0.032	-0.070	-0.043	-0.074	~~~	~~~	-0.047	-0.075	~~~	~~~	-0.050	-0.075	~~~	~~~	-0.079	-0.064	~~~	~~~
3.05.13_0.80	17.517	17.465	17.472	17.439	17.435	-14.530	-16.201	-16.135	-16.673	-16.852	-17.018	-17.038	-7.525	-7.005	-8.553	-7.648	-8.511	-7.624	-8.892	-7.782	-9.031	-7.820	-9.139	-7.879	-9.177	-7.861	-11.580	-9.839	-13.053	-10.990
3.05.13_0.85	10.395	10.397	~~~	10.381	~~~	-11.272	-12.451	~~~	-12.794	~~~	-13.045	~~~	-5.829	-5.443	-6.547	-5.904	~~~	~~~	-6.790	-6.004	~~~	~~~	-6.968	-6.077	~~~	~~~	-9.064	-7.692	~~~	~~~
3.05.13_0.90	5.974	5.995	~~~	5.985	~~~	-8.746	-9.573	~~~	-9.825	~~~	-10.008	~~~	-4.508	-4.238	-5.006	-4.567	~~~	~~~	-5.182	-4.642	~~~	~~~	-5.311	-4.697	~~~	~~~	-7.079	-5.996	~~~	~~~
3.05.13_0.95	3.267	3.286	~~~	3.280	~~~	-6.793	-7.369	~~~	-7.554	~~~	-7.689	~~~	-3.486	-3.307	-3.828	-3.541	~~~	~~~	-3.956	-3.598	~~~	~~~	-4.050	-3.639	~~~	~~~	-5.522	-4.667	~~~	~~~
3.05.13_1.00	1.637	1.642	1.641	1.638	1.636	-5.283	-5.682	-5.656	-5.819	-5.866	-5.918	-5.916	-2.696	-2.587	-2.930	-2.753	-2.914	-2.742	-3.023	-2.796	-3.059	-2.808	-3.091	-2.827	-3.096	-2.820	-4.305	-3.630	-4.625	-3.855
3.05.13_1.05	0.674	0.662	~~~	0.660	~~~	-4.115	-4.392	~~~	-4.492	~~~	-4.565	~~~	-2.087	-2.029	-2.246	-2.146	~~~	~~~	-2.313	-2.178	~~~	~~~	-2.363	-2.202	~~~	~~~	-3.356	-2.823	~~~	~~~
3.05.13_1.10	0.120	0.093	~~~	0.094	~~~	-3.211	-3.405	~~~	-3.477	~~~	-3.530	~~~	-1.616	-1.594	-1.725	-1.679	~~~	~~~	-1.774	-1.703	~~~	~~~	-1.810	-1.720	~~~	~~~	-2.617	-2.196	~~~	~~~
3.05.13_1.25	-0.422	-0.459	~~~	-0.456	~~~	-1.544	-1.619	~~~	-1.645	~~~	-1.665	~~~	-0.756	-0.788	-0.796	-0.823	~~~	~~~	-0.814	-0.831	~~~	~~~	-0.828	-0.838	~~~	~~~	-1.249	-1.041	~~~	~~~
3.05.13_1.50	-0.364	-0.374	~~~	-0.374	~~~	-0.491	-0.510	~~~	-0.518	~~~	-0.523	~~~	-0.226	-0.264	-0.236	-0.274	~~~	~~~	-0.242	-0.276	~~~	~~~	-0.246	-0.278	~~~	~~~	-0.389	-0.321	~~~	~~~
3.05.13_2.00	-0.133	-0.136	~~~	-0.135	~~~	-0.070	-0.072	~~~	-0.073	~~~	-0.074	~~~	-0.027	-0.043	-0.028	-0.044	~~~	~~~	-0.029	-0.044	~~~	~~~	-0.030	-0.044	~~~	~~~	-0.053	-0.043	~~~	~~~
3.05.14_0.80	7.579	7.594	7.595	7.596	7.590	-4.838	-5.741	-5.734	-6.018	-6.136	-6.221	-6.260	-2.407	-2.431	-2.958	-2.782	-2.954	-2.780	-3.149	-2.869	-3.235	-2.901	-3.288	-2.933	-3.326	-2.934	-4.321	-3.713	-5.278	-4.500
3.05.14_0.85	4.292	4.287	~~~	4.289	~~~	-3.718	-4.348	~~~	-4.542	~~~	-4.684	~~~	-1.847	-1.871	-2.225	-2.123	~~~	~~~	-2.356	-2.186	~~~	~~~	-2.452	-2.232	~~~	~~~	-3.362	-2.881	~~~	~~~
3.05.14_0.90	2.381	2.365	~~~	2.365	~~~	-2.862	-3.304	~~~	-3.441	~~~	-3.541	~~~	-1.419	-1.443	-1.679	-1.625	~~~	~~~	-1.770	-1.671	~~~	~~~	-1.836	-1.705	~~~	~~~	-2.615	-2.234	~~~	~~~
3.05.14_0.95	1.281	1.261	~~~	1.261	~~~	-2.209	-2.520	~~~	-2.618	~~~	-2.689	~~~	-1.092	-1.116	-1.272	-1.248	~~~	~~~	-1.335	-1.282	~~~	~~~	-1.381	-1.308	~~~	~~~	-2.034	-1.732	~~~	~~~
3.05.14_1.00	0.655	0.638	0.638	0.637	0.637	-1.710	-1.932	-1.930	-2.002	-2.028	-2.053	-2.056	-0.843	-0.867	-0.969	-0.963	-0.968	-0.962	-1.013	-0.989	-1.031	-0.997	-1.045	-1.008	-1.050	-1.006	-1.583	-1.345	-1.817	-1.524
3.05.14_1.05	0.305	0.292	~~~	0.291	~~~	-1.329	-1.489	~~~	-1.540	~~~	-1.577	~~~	-0.653	-0.676	-0.742	-0.746	~~~	~~~	-0.774	-0.766	~~~	~~~	-0.796	-0.780	~~~	~~~	-1.235	-1.047	~~~	~~~
3.05.14_1.10	0.113	0.106	~~~	0.105	~~~	-1.038	-1.155	~~~	-1.192	~~~	-1.219	~~~	-0.509	-0.530	-0.573	-0.582	~~~	~~~	-0.595	-0.597	~~~	~~~	-0.611	-0.608	~~~	~~~	-0.967	-0.818	~~~	~~~
3.05.14_1.25	-0.058	-0.056	~~~	-0.056	~~~	-0.515	-0.562	~~~	-0.577	~~~	-0.587	~~~	-0.250	-0.265	-0.275	-0.287	~~~	~~~	-0.283	-0.293	~~~	~~~	-0.289	-0.298	~~~	~~~	-0.479	-0.403	~~~	~~~
3.05.14_1.50	-0.042	-0.042	~~~	-0.042	~~~	-0.184	-0.196	~~~	-0.200	~~~	-0.202	~~~	-0.089	-0.095	-0.095	-0.101	~~~	~~~	-0.097	-0.103	~~~	~~~	-0.098	-0.104	~~~	~~~	-0.169	-0.142	~~~	~~~
3.05.14_2.00	-0.009	-0.009	~~~	-0.009	~~~	-0.036	-0.037	~~~	-0.038	~~~	-0.038	~~~	-0.017	-0.018	-0.018	-0.019	~~~	~~~	-0.018	-0.019	~~~	~~~	-0.018	-0.020	~~~	~~~	-0.032	-0.027	~~~	~~~
3.06.02_0.80	14.362	14.341	14.352	14.326	14.313	-11.502	-13.226	-12.938	-13.705	-13.878	-14.054	-14.059	-5.628	-5.874	-6.701	-6.525	-6.525	-6.413	-7.045	-6.660	-7.180	-6.698	-7.296	-6.758	-7.321	-6.738	-10.095	-8.658	-11.522	-9.747
3.06.02_0.85	9.486	9.492	~~~	9.480	~~~	-9.347	-10.613	~~~	-10.962	~~~	-11.218	~~~	-4.602	-4.746	-5.382	-5.231	~~~	~~~	-5.631	-5.331	~~~	~~~	-5.813	-5.404	~~~	~~~	-8.296	-7.108	~~~	~~~
3.06.02_0.90	6.207	6.225	~~~	6.216	~~~	-7.606	-8.532	~~~	-8.787	~~~	-8.974	~~~	-3.764	-3.842	-4.330	-4.203	~~~	~~~	-4.509	-4.278	~~~	~~~	-4.640	-4.333	~~~	~~~	-6.815	-5.832	~~~	~~~
3.06.02_0.95	4.023	4.044	~~~	4.037	~~~	-6.198	-6.876	~~~	-7.062	~~~	-7.198	~~~	-3.080	-3.118	-3.489	-3.386	~~~	~~~	-3.619	-3.443	~~~	~~~	-3.713	-3.485	~~~	~~~	-5.595	-4.783	~~~	~~~
3.06.02_1.00	2.581	2.600	2.597	2.595	2.593	-5.060	-5.556	-5.419	-5.693	-5.741	-5.792	-5.791	-2.522	-2.538	-2.819	-2.738	-2.738	-2.681	-2.912	-2.781	-2.948	-2.793	-2.980	-2.813	-2.985	-2.806	-4.592	-3.922	-4.913	-4.124
3.06.02_1.05	1.637	1.653	~~~	1.649	~~~	-4.139	-4.504	~~~	-4.604	~~~	-4.678	~~~	-2.068	-2.071	-2.283	-2.221	~~~	~~~	-2.350	-2.254	~~~	~~~	-2.399	-2.278	~~~	~~~	-3.770	-3.217	~~~	~~~
3.06.02_1.10	1.023	1.037	~~~	1.034	~~~	-3.394	-3.664	~~~	-3.738	~~~	-3.792	~~~	-1.698	-1.696	-1.855	-1.809	~~~	~~~	-1.904	-1.834	~~~	~~~	-1.939	-1.853	~~~	~~~	-3.097	-2.640	~~~	~~~
3.06.02_1.25	0.213	0.225	~~~	0.224	~~~	-1.905	-2.021	~~~	-2.051	~~~	-2.073	~~~	-0.954	-0.952	-1.019	-1.002	~~~	~~~	-1.037	-1.014	~~~	~~~	-1.050	-1.022	~~~	~~~	-1.732	-1.475	~~~	~~~
3.06.02_1.50	-0.019	-0.011	~~~	-0.011	~~~	-0.783	-0.820	~~~	-0.826	~~~	-0.831	~~~	-0.390	-0.393	-0.410	-0.410	~~~	~~~	-0.414	-0.413	~~~	~~~	-0.416	-0.415	~~~	~~~	-0.696	-0.592	~~~	~~~
3.06.02_2.00	-0.017	-0.016	~~~	-0.015	~~~	-0.178	-0.184	~~~	-0.185	~~~	-0.186	~~~	-0.088	-0.090	-0.091	-0.093	~~~	~~~	-0.092	-0.093	~~~	~~~	-0.092	-0.094	~~~	~~~	-0.151	-0.129	~~~	~~~
3.06.04_0.80	6.943	6.877	6.885	6.868	6.865	-5.956	-6.890	-6.710	-7.134	-7.220	-7.312	-7.311	-2.874	-3.082	-3.465	-3.426	-3.354	-3.356	-3.646	-3.489	-3.715	-3.506	-3.778	-3.534	-3.787	-3.524	-5.584	-4.818	-6.344	-5.413
