# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
5.1.05_085	2.132	2.129	~~~	2.087	~~~	-4.496	-5.531	~~~	-5.836	~~~	-6.059	~~~	-1.784	-2.713	-2.46	-3.071	~~~	~~~	-2.682	-3.155	~~~	~~~	-2.843	-3.216	~~~	~~~	-3.361	-2.685	~~~	~~~
5.1.05_090	-0.6	-0.55	~~~	-0.579	~~~	-3.543	-4.287	~~~	-4.505	~~~	-4.664	~~~	-1.396	-2.148	-1.88	-2.408	~~~	~~~	-2.036	-2.47	~~~	~~~	-2.15	-2.514	~~~	~~~	-2.698	-2.153	~~~	~~~
5.1.05_095	-2.16	-2.089	~~~	-2.107	~~~	-2.787	-3.318	~~~	-3.474	~~~	-3.587	~~~	-1.084	-1.703	-1.427	-1.891	~~~	~~~	-1.538	-1.936	~~~	~~~	-1.618	-1.969	~~~	~~~	-2.154	-1.714	~~~	~~~
5.1.05_100	-2.976	-2.901	-2.902	-2.91	-2.913	-2.186	-2.564	-2.544	-2.675	-2.717	-2.757	-2.761	-0.834	-1.352	-1.076	-1.487	-1.065	-1.479	-1.155	-1.521	-1.187	-1.531	-1.212	-1.545	-1.22	-1.541	-1.709	-1.354	-2.089	-1.68
5.1.05_105	-3.33	-3.262	~~~	-3.266	~~~	-1.71	-1.978	~~~	-2.058	~~~	-2.116	~~~	-0.634	-1.076	-0.805	-1.173	~~~	~~~	-0.86	-1.197	~~~	~~~	-0.901	-1.215	~~~	~~~	-1.345	-1.059	~~~	~~~
5.1.05_110	-3.41	-3.35	~~~	-3.351	~~~	-1.332	-1.522	~~~	-1.58	~~~	-1.622	~~~	-0.474	-0.858	-0.595	-0.927	~~~	~~~	-0.635	-0.945	~~~	~~~	-0.664	-0.958	~~~	~~~	-1.049	-0.819	~~~	~~~
5.1.05_125	-2.976	-2.938	~~~	-2.936	~~~	-0.606	-0.679	~~~	-0.702	~~~	-0.718	~~~	-0.166	-0.44	-0.213	-0.466	~~~	~~~	-0.228	-0.473	~~~	~~~	-0.24	-0.479	~~~	~~~	-0.459	-0.342	~~~	~~~
5.1.05_150	-2.003	-1.983	~~~	-1.982	~~~	-0.121	-0.144	~~~	-0.151	~~~	-0.156	~~~	0.032	-0.152	0.015	-0.159	~~~	~~~	0.01	-0.16	~~~	~~~	0.006	-0.161	~~~	~~~	-0.054	-0.018	~~~	~~~
5.1.05_200	-0.972	-0.965	~~~	-0.964	~~~	0.056	0.048	~~~	0.045	~~~	0.044	~~~	0.077	-0.021	0.07	-0.022	~~~	~~~	0.068	-0.022	~~~	~~~	0.066	-0.022	~~~	~~~	0.078	0.079	~~~	~~~
5.1.06_080	8.855	8.07	8.076	8.02	8.013	-6.738	-9.164	-9.162	-10.139	-10.508	-10.851	-10.895	-2.119	-4.619	-3.636	-5.528	-3.636	-5.526	-4.362	-5.777	-4.657	-5.851	-4.892	-5.959	-4.966	-5.928	-4.07	-3.175	-6.691	-5.512
5.1.06_085	2.51	2.086	~~~	2.039	~~~	-5.552	-7.41	~~~	-8.14	~~~	-8.673	~~~	-1.831	-3.722	-2.983	-4.427	~~~	~~~	-3.524	-4.616	~~~	~~~	-3.918	-4.755	~~~	~~~	-3.434	-2.711	~~~	~~~
5.1.06_090	-1.452	-1.652	~~~	-1.696	~~~	-4.488	-5.893	~~~	-6.437	~~~	-6.834	~~~	-1.519	-2.969	-2.382	-3.511	~~~	~~~	-2.781	-3.656	~~~	~~~	-3.073	-3.762	~~~	~~~	-2.844	-2.265	~~~	~~~
5.1.06_095	-3.785	-3.845	~~~	-3.885	~~~	-3.577	-4.629	~~~	-5.034	~~~	-5.329	~~~	-1.226	-2.351	-1.863	-2.766	~~~	~~~	-2.157	-2.876	~~~	~~~	-2.372	-2.957	~~~	~~~	-2.318	-1.861	~~~	~~~
5.1.06_100	-5.03	-5.001	-4.998	-5.036	-5.035	-2.821	-3.602	-3.603	-3.904	-4.02	-4.124	-4.143	-0.969	-1.852	-1.435	-2.168	-1.436	-2.167	-1.651	-2.253	-1.739	-2.281	-1.809	-2.316	-1.832	-2.31	-1.866	-1.507	-2.696	-2.224
5.1.06_105	-5.566	-5.484	~~~	-5.51	~~~	-2.207	-2.784	~~~	-3.01	~~~	-3.175	~~~	-0.753	-1.455	-1.09	-1.695	~~~	~~~	-1.249	-1.761	~~~	~~~	-1.366	-1.809	~~~	~~~	-1.484	-1.205	~~~	~~~
5.1.06_110	-5.658	-5.547	~~~	-5.565	~~~	-1.716	-2.14	~~~	-2.31	~~~	-2.434	~~~	-0.575	-1.142	-0.817	-1.323	~~~	~~~	-0.935	-1.375	~~~	~~~	-1.021	-1.412	~~~	~~~	-1.168	-0.952	~~~	~~~
5.1.06_125	-4.779	-4.666	~~~	-4.666	~~~	-0.776	-0.938	~~~	-1.01	~~~	-1.064	~~~	-0.223	-0.553	-0.306	-0.631	~~~	~~~	-0.355	-0.655	~~~	~~~	-0.391	-0.673	~~~	~~~	-0.522	-0.43	~~~	~~~
5.1.06_150	-2.956	-2.894	~~~	-2.886	~~~	-0.148	-0.175	~~~	-0.195	~~~	-0.209	~~~	0.018	-0.166	0.009	-0.184	~~~	~~~	-0.004	-0.191	~~~	~~~	-0.014	-0.195	~~~	~~~	-0.055	-0.046	~~~	~~~
5.1.06_200	-1.235	-1.214	~~~	-1.21	~~~	0.078	0.082	~~~	0.078	~~~	0.075	~~~	0.084	-0.006	0.087	-0.006	~~~	~~~	0.084	-0.007	~~~	~~~	0.082	-0.007	~~~	~~~	0.103	0.086	~~~	~~~
5.1.07_080	6.281	6.253	6.254	6.213	6.211	-4.474	-5.559	-5.534	-5.878	-6.005	-6.11	-6.139	-1.86	-2.614	-2.562	-2.997	-2.547	-2.987	-2.795	-3.082	-2.896	-3.109	-2.966	-3.144	-3.001	-3.138	-3.454	-2.826	-4.577	-3.803
5.1.07_085	2.457	2.495	~~~	2.47	~~~	-3.546	-4.304	~~~	-4.524	~~~	-4.685	~~~	-1.482	-2.065	-1.967	-2.338	~~~	~~~	-2.126	-2.399	~~~	~~~	-2.242	-2.443	~~~	~~~	-2.811	-2.299	~~~	~~~
5.1.07_090	0.224	0.291	~~~	0.277	~~~	-2.811	-3.334	~~~	-3.486	~~~	-3.597	~~~	-1.175	-1.636	-1.505	-1.828	~~~	~~~	-1.614	-1.872	~~~	~~~	-1.693	-1.904	~~~	~~~	-2.28	-1.861	~~~	~~~
5.1.07_095	-1.012	-0.936	~~~	-0.943	~~~	-2.225	-2.582	~~~	-2.688	~~~	-2.765	~~~	-0.926	-1.3	-1.148	-1.434	~~~	~~~	-1.222	-1.466	~~~	~~~	-1.276	-1.489	~~~	~~~	-1.841	-1.498	~~~	~~~
5.1.07_100	-1.638	-1.565	-1.566	-1.567	-1.568	-1.758	-2	-1.988	-2.074	-2.102	-2.128	-2.13	-0.724	-1.034	-0.872	-1.128	-0.865	-1.123	-0.923	-1.151	-0.943	-1.158	-0.96	-1.168	-0.965	-1.165	-1.478	-1.198	-1.714	-1.394
5.1.07_105	-1.904	-1.837	~~~	-1.836	~~~	-1.385	-1.549	~~~	-1.6	~~~	-1.638	~~~	-0.561	-0.825	-0.659	-0.89	~~~	~~~	-0.693	-0.907	~~~	~~~	-0.719	-0.919	~~~	~~~	-1.179	-0.95	~~~	~~~
5.1.07_110	-1.963	-1.904	~~~	-1.902	~~~	-1.087	-1.198	~~~	-1.234	~~~	-1.26	~~~	-0.429	-0.658	-0.494	-0.704	~~~	~~~	-0.518	-0.716	~~~	~~~	-0.535	-0.725	~~~	~~~	-0.933	-0.748	~~~	~~~
5.1.07_125	-1.664	-1.626	~~~	-1.623	~~~	-0.511	-0.548	~~~	-0.561	~~~	-0.571	~~~	-0.173	-0.338	-0.193	-0.355	~~~	~~~	-0.202	-0.36	~~~	~~~	-0.208	-0.363	~~~	~~~	-0.44	-0.343	~~~	~~~
5.1.07_150	-1.034	-1.015	~~~	-1.013	~~~	-0.127	-0.137	~~~	-0.14	~~~	-0.142	~~~	-0.01	-0.118	-0.015	-0.122	~~~	~~~	-0.017	-0.123	~~~	~~~	-0.019	-0.123	~~~	~~~	-0.101	-0.069	~~~	~~~
5.1.07_200	-0.415	-0.408	~~~	-0.408	~~~	0.012	0.01	~~~	0.009	~~~	0.008	~~~	0.031	-0.019	0.03	-0.02	~~~	~~~	0.029	-0.02	~~~	~~~	0.028	-0.02	~~~	~~~	0.017	0.021	~~~	~~~
5.1.08_080	9.989	9.961	9.972	9.899	9.898	-6.488	-8.22	-8.199	-8.726	-8.923	-9.096	-9.129	-2.763	-3.725	-3.931	-4.289	-3.919	-4.28	-4.311	-4.416	-4.467	-4.456	-4.588	-4.508	-4.631	-4.498	-4.795	-3.842	-6.586	-5.4
5.1.08_085	4.816	4.905	~~~	4.854	~~~	-5.261	-6.539	~~~	-6.902	~~~	-7.168	~~~	-2.273	-2.988	-3.127	-3.412	~~~	~~~	-3.395	-3.507	~~~	~~~	-3.591	-3.577	~~~	~~~	-3.967	-3.182	~~~	~~~
5.1.08_090	1.713	1.855	~~~	1.815	~~~	-4.254	-5.192	~~~	-5.453	~~~	-5.644	~~~	-1.865	-2.389	-2.485	-2.707	~~~	~~~	-2.674	-2.779	~~~	~~~	-2.812	-2.832	~~~	~~~	-3.27	-2.624	~~~	~~~
5.1.08_095	-0.056	0.101	~~~	0.073	~~~	-3.442	-4.129	~~~	-4.317	~~~	-4.455	~~~	-1.531	-1.911	-1.98	-2.15	~~~	~~~	-2.113	-2.205	~~~	~~~	-2.21	-2.245	~~~	~~~	-2.693	-2.16	~~~	~~~
5.1.08_100	-0.989	-0.838	-0.837	-0.856	-0.858	-2.793	-3.297	-3.29	-3.432	-3.481	-3.53	-3.533	-1.26	-1.533	-1.584	-1.712	-1.581	-1.71	-1.677	-1.754	-1.715	-1.766	-1.745	-1.785	-1.754	-1.779	-2.219	-1.78	-2.713	-2.19
5.1.08_105	-1.414	-1.282	~~~	-1.291	~~~	-2.273	-2.644	~~~	-2.74	~~~	-2.81	~~~	-1.039	-1.234	-1.274	-1.37	~~~	~~~	-1.339	-1.402	~~~	~~~	-1.386	-1.424	~~~	~~~	-1.83	-1.467	~~~	~~~
5.1.08_110	-1.545	-1.436	~~~	-1.439	~~~	-1.857	-2.132	~~~	-2.2	~~~	-2.249	~~~	-0.859	-0.998	-1.03	-1.102	~~~	~~~	-1.074	-1.125	~~~	~~~	-1.107	-1.142	~~~	~~~	-1.511	-1.21	~~~	~~~
5.1.08_125	-1.266	-1.213	~~~	-1.211	~~~	-1.033	-1.152	~~~	-1.174	~~~	-1.191	~~~	-0.489	-0.544	-0.56	-0.592	~~~	~~~	-0.573	-0.601	~~~	~~~	-0.582	-0.608	~~~	~~~	-0.854	-0.682	~~~	~~~
5.1.08_150	-0.642	-0.625	~~~	-0.624	~~~	-0.422	-0.458	~~~	-0.462	~~~	-0.464	~~~	-0.202	-0.22	-0.223	-0.236	~~~	~~~	-0.224	-0.238	~~~	~~~	-0.225	-0.24	~~~	~~~	-0.348	-0.274	~~~	~~~
5.1.08_200	-0.18	-0.177	~~~	-0.177	~~~	-0.098	-0.107	~~~	-0.106	~~~	-0.106	~~~	-0.047	-0.052	-0.052	-0.055	~~~	~~~	-0.051	-0.056	~~~	~~~	-0.05	-0.056	~~~	~~~	-0.08	-0.06	~~~	~~~
5.1.09_080	14.592	14.852	14.858	14.76	14.756	-9.568	-12.054	-12.023	-12.884	-13.209	-13.49	-13.55	-4.079	-5.489	-5.688	-6.366	-5.669	-6.354	-6.314	-6.57	-6.574	-6.635	-6.771	-6.718	-6.847	-6.703	-7.043	-5.744	-9.659	-8.015
5.1.09_085	6.798	7.164	~~~	7.098	~~~	-7.703	-9.543	~~~	-10.14	~~~	-10.575	~~~	-3.342	-4.361	-4.52	-5.024	~~~	~~~	-4.964	-5.176	~~~	~~~	-5.289	-5.287	~~~	~~~	-5.842	-4.78	~~~	~~~
5.1.09_090	2.216	2.598	~~~	2.553	~~~	-6.159	-7.514	~~~	-7.945	~~~	-8.259	~~~	-2.712	-3.446	-3.568	-3.946	~~~	~~~	-3.884	-4.06	~~~	~~~	-4.115	-4.144	~~~	~~~	-4.8	-3.938	~~~	~~~
5.1.09_095	-0.346	0.008	~~~	-0.02	~~~	-4.918	-5.914	~~~	-6.226	~~~	-6.453	~~~	-2.196	-2.722	-2.815	-3.099	~~~	~~~	-3.041	-3.185	~~~	~~~	-3.205	-3.248	~~~	~~~	-3.928	-3.23	~~~	~~~
5.1.09_100	-1.671	-1.361	-1.365	-1.375	-1.378	-3.936	-4.667	-4.649	-4.893	-4.979	-5.057	-5.07	-1.781	-2.155	-2.227	-2.44	-2.217	-2.432	-2.388	-2.505	-2.454	-2.525	-2.506	-2.552	-2.524	-2.546	-3.21	-2.644	-3.942	-3.244
5.1.09_105	-2.262	-1.997	~~~	-2.002	~~~	-3.16	-3.698	~~~	-3.861	~~~	-3.98	~~~	-1.447	-1.713	-1.769	-1.929	~~~	~~~	-1.884	-1.977	~~~	~~~	-1.967	-2.012	~~~	~~~	-2.624	-2.164	~~~	~~~
5.1.09_110	-2.432	-2.209	~~~	-2.209	~~~	-2.547	-2.944	~~~	-3.062	~~~	-3.147	~~~	-1.178	-1.369	-1.411	-1.533	~~~	~~~	-1.493	-1.569	~~~	~~~	-1.552	-1.595	~~~	~~~	-2.146	-1.771	~~~	~~~
5.1.09_125	-1.988	-1.857	~~~	-1.852	~~~	-1.368	-1.532	~~~	-1.577	~~~	-1.61	~~~	-0.647	-0.722	-0.736	-0.796	~~~	~~~	-0.766	-0.811	~~~	~~~	-0.788	-0.822	~~~	~~~	-1.18	-0.975	~~~	~~~
5.1.09_150	-1.022	-0.967	~~~	-0.963	~~~	-0.532	-0.575	~~~	-0.586	~~~	-0.594	~~~	-0.253	-0.278	-0.274	-0.3	~~~	~~~	-0.281	-0.305	~~~	~~~	-0.286	-0.308	~~~	~~~	-0.456	-0.377	~~~	~~~
5.1.09_200	-0.292	-0.276	~~~	-0.275	~~~	-0.114	-0.12	~~~	-0.121	~~~	-0.123	~~~	-0.053	-0.061	-0.056	-0.064	~~~	~~~	-0.057	-0.064	~~~	~~~	-0.058	-0.065	~~~	~~~	-0.092	-0.076	~~~	~~~
5.1.10_080	9.938	10.04	10.048	9.983	9.984	-6.476	-8.198	-8.166	-8.685	-8.878	-9.04	-9.079	-2.814	-3.662	-3.965	-4.233	-3.945	-4.221	-4.33	-4.355	-4.483	-4.394	-4.597	-4.444	-4.644	-4.436	-4.85	-3.888	-6.605	-5.416
5.1.10_085	4.919	5.094	~~~	5.051	~~~	-5.223	-6.474	~~~	-6.821	~~~	-7.075	~~~	-2.323	-2.9	-3.15	-3.324	~~~	~~~	-3.406	-3.415	~~~	~~~	-3.593	-3.481	~~~	~~~	-4.009	-3.237	~~~	~~~
5.1.10_090	1.946	2.142	~~~	2.112	~~~	-4.206	-5.111	~~~	-5.359	~~~	-5.541	~~~	-1.913	-2.293	-2.504	-2.607	~~~	~~~	-2.684	-2.676	~~~	~~~	-2.815	-2.726	~~~	~~~	-3.301	-2.68	~~~	~~~
5.1.10_095	0.267	0.456	~~~	0.439	~~~	-3.392	-4.045	~~~	-4.224	~~~	-4.353	~~~	-1.576	-1.816	-1.996	-2.049	~~~	~~~	-2.122	-2.101	~~~	~~~	-2.214	-2.139	~~~	~~~	-2.715	-2.214	~~~	~~~
5.1.10_100	-0.616	-0.447	-0.445	-0.454	-0.456	-2.742	-3.216	-3.203	-3.343	-3.389	-3.436	-3.437	-1.3	-1.442	-1.6	-1.616	-1.592	-1.611	-1.687	-1.656	-1.722	-1.667	-1.751	-1.684	-1.758	-1.679	-2.232	-1.828	-2.683	-2.198
5.1.10_105	-1.023	-0.88	~~~	-0.882	~~~	-2.224	-2.57	~~~	-2.66	~~~	-2.725	~~~	-1.074	-1.15	-1.288	-1.281	~~~	~~~	-1.349	-1.311	~~~	~~~	-1.393	-1.332	~~~	~~~	-1.835	-1.508	~~~	~~~
5.1.10_110	-1.159	-1.041	~~~	-1.04	~~~	-1.81	-2.064	~~~	-2.127	~~~	-2.173	~~~	-0.888	-0.922	-1.043	-1.021	~~~	~~~	-1.084	-1.043	~~~	~~~	-1.114	-1.059	~~~	~~~	-1.51	-1.245	~~~	~~~
5.1.10_125	-0.958	-0.897	~~~	-0.893	~~~	-0.999	-1.105	~~~	-1.127	~~~	-1.143	~~~	-0.51	-0.489	-0.571	-0.534	~~~	~~~	-0.584	-0.543	~~~	~~~	-0.593	-0.55	~~~	~~~	-0.847	-0.704	~~~	~~~
5.1.10_150	-0.463	-0.44	~~~	-0.438	~~~	-0.407	-0.439	~~~	-0.443	~~~	-0.447	~~~	-0.217	-0.19	-0.234	-0.204	~~~	~~~	-0.236	-0.207	~~~	~~~	-0.238	-0.209	~~~	~~~	-0.345	-0.29	~~~	~~~
5.1.10_200	-0.113	-0.107	~~~	-0.106	~~~	-0.098	-0.105	~~~	-0.106	~~~	-0.106	~~~	-0.057	-0.042	-0.06	-0.045	~~~	~~~	-0.06	-0.045	~~~	~~~	-0.06	-0.046	~~~	~~~	-0.083	-0.071	~~~	~~~
5.1.11_080	12.744	12.388	12.399	12.304	12.298	-12.05	-14.473	-14.416	-15.289	-15.601	-15.884	-15.928	-5.337	-6.714	-6.919	-7.554	-6.882	-7.534	-7.539	-7.75	-7.792	-7.808	-7.992	-7.893	-8.058	-7.87	-8.514	-6.819	-11.101	-9.09
5.1.11_085	6.054	5.957	~~~	5.891	~~~	-10.216	-12.051	~~~	-12.654	~~~	-13.095	~~~	-4.59	-5.626	-5.779	-6.272	~~~	~~~	-6.234	-6.421	~~~	~~~	-6.565	-6.529	~~~	~~~	-7.462	-5.984	~~~	~~~
5.1.11_090	1.8	1.848	~~~	1.796	~~~	-8.528	-9.907	~~~	-10.354	~~~	-10.68	~~~	-3.868	-4.66	-4.753	-5.154	~~~	~~~	-5.086	-5.268	~~~	~~~	-5.329	-5.35	~~~	~~~	-6.406	-5.145	~~~	~~~
5.1.11_095	-0.809	-0.685	~~~	-0.723	~~~	-7.053	-8.084	~~~	-8.416	~~~	-8.658	~~~	-3.221	-3.832	-3.875	-4.209	~~~	~~~	-4.12	-4.296	~~~	~~~	-4.298	-4.36	~~~	~~~	-5.426	-4.365	~~~	~~~
5.1.11_100	-2.318	-2.16	-2.156	-2.184	-2.187	-5.808	-6.575	-6.545	-6.822	-6.916	-7.002	-7.014	-2.668	-3.14	-3.148	-3.427	-3.13	-3.416	-3.327	-3.495	-3.4	-3.515	-3.458	-3.544	-3.477	-3.537	-4.559	-3.673	-5.329	-4.311
5.1.11_105	-3.106	-2.938	~~~	-2.951	~~~	-4.777	-5.345	~~~	-5.529	~~~	-5.663	~~~	-2.204	-2.572	-2.555	-2.79	~~~	~~~	-2.687	-2.842	~~~	~~~	-2.783	-2.88	~~~	~~~	-3.812	-3.076	~~~	~~~
5.1.11_110	-3.432	-3.271	~~~	-3.274	~~~	-3.931	-4.351	~~~	-4.487	~~~	-4.586	~~~	-1.821	-2.11	-2.076	-2.275	~~~	~~~	-2.172	-2.315	~~~	~~~	-2.242	-2.344	~~~	~~~	-3.18	-2.57	~~~	~~~
5.1.11_125	-3.134	-3.029	~~~	-3.022	~~~	-2.217	-2.385	~~~	-2.438	~~~	-2.478	~~~	-1.033	-1.183	-1.13	-1.255	~~~	~~~	-1.166	-1.272	~~~	~~~	-1.193	-1.285	~~~	~~~	-1.834	-1.489	~~~	~~~
5.1.11_150	-1.916	-1.876	~~~	-1.869	~~~	-0.898	-0.936	~~~	-0.949	~~~	-0.958	~~~	-0.414	-0.484	-0.432	-0.503	~~~	~~~	-0.441	-0.508	~~~	~~~	-0.447	-0.511	~~~	~~~	-0.733	-0.599	~~~	~~~
5.1.11_200	-0.708	-0.698	~~~	-0.696	~~~	-0.188	-0.189	~~~	-0.192	~~~	-0.193	~~~	-0.08	-0.108	-0.08	-0.109	~~~	~~~	-0.082	-0.11	~~~	~~~	-0.083	-0.11	~~~	~~~	-0.133	-0.11	~~~	~~~
5.1.12_080	11.199	11.127	11.137	11.056	11.053	-9.458	-11.394	-11.342	-11.979	-12.209	-12.406	-12.45	-4.187	-5.271	-5.471	-5.923	-5.438	-5.904	-5.909	-6.07	-6.093	-6.116	-6.228	-6.178	-6.285	-6.165	-7.087	-5.69	-9.091	-7.437
5.1.12_085	5.479	5.536	~~~	5.481	~~~	-7.759	-9.2	~~~	-9.628	~~~	-9.941	~~~	-3.467	-4.292	-4.416	-4.784	~~~	~~~	-4.733	-4.895	~~~	~~~	-4.964	-4.977	~~~	~~~	-5.962	-4.802	~~~	~~~
5.1.12_090	1.888	2.007	~~~	1.967	~~~	-6.334	-7.398	~~~	-7.712	~~~	-7.942	~~~	-2.853	-3.481	-3.548	-3.85	~~~	~~~	-3.778	-3.935	~~~	~~~	-3.946	-3.996	~~~	~~~	-4.977	-4.019	~~~	~~~
5.1.12_095	-0.281	-0.138	~~~	-0.164	~~~	-5.164	-5.946	~~~	-6.176	~~~	-6.344	~~~	-2.343	-2.821	-2.849	-3.097	~~~	~~~	-3.015	-3.161	~~~	~~~	-3.137	-3.208	~~~	~~~	-4.137	-3.347	~~~	~~~
5.1.12_100	-1.517	-1.373	-1.373	-1.387	-1.39	-4.214	-4.786	-4.757	-4.954	-5.015	-5.076	-5.08	-1.925	-2.288	-2.292	-2.494	-2.274	-2.483	-2.412	-2.542	-2.459	-2.557	-2.499	-2.578	-2.508	-2.571	-3.432	-2.781	-3.995	-3.245
5.1.12_105	-2.153	-2.023	~~~	-2.028	~~~	-3.444	-3.863	~~~	-3.984	~~~	-4.073	~~~	-1.583	-1.861	-1.848	-2.014	~~~	~~~	-1.934	-2.05	~~~	~~~	-1.996	-2.076	~~~	~~~	-2.844	-2.307	~~~	~~~
5.1.12_110	-2.418	-2.305	~~~	-2.305	~~~	-2.822	-3.127	~~~	-3.214	~~~	-3.278	~~~	-1.304	-1.518	-1.495	-1.632	~~~	~~~	-1.556	-1.658	~~~	~~~	-1.6	-1.678	~~~	~~~	-2.356	-1.912	~~~	~~~
5.1.12_125	-2.226	-2.165	~~~	-2.16	~~~	-1.575	-1.694	~~~	-1.726	~~~	-1.75	~~~	-0.735	-0.84	-0.806	-0.888	~~~	~~~	-0.828	-0.898	~~~	~~~	-0.844	-0.906	~~~	~~~	-1.334	-1.085	~~~	~~~
5.1.12_150	-1.364	-1.342	~~~	-1.338	~~~	-0.632	-0.659	~~~	-0.666	~~~	-0.672	~~~	-0.293	-0.339	-0.308	-0.351	~~~	~~~	-0.313	-0.353	~~~	~~~	-0.317	-0.355	~~~	~~~	-0.522	-0.425	~~~	~~~
5.1.12_200	-0.509	-0.503	~~~	-0.503	~~~	-0.134	-0.136	~~~	-0.137	~~~	-0.138	~~~	-0.059	-0.075	-0.06	-0.076	~~~	~~~	-0.061	-0.076	~~~	~~~	-0.062	-0.076	~~~	~~~	-0.097	-0.078	~~~	~~~
5.1.13_080	16.331	14.884	14.894	14.74	14.714	-12.389	-16.665	-16.62	-18.394	-19.04	-19.655	-19.719	-4.092	-8.297	-6.786	-9.88	-6.758	-9.862	-8.098	-10.296	-8.627	-10.413	-9.055	-10.6	-9.182	-10.536	-8.232	-6.415	-12.847	-10.555
5.1.13_085	5.593	4.752	~~~	4.652	~~~	-11.07	-14.469	~~~	-15.809	~~~	-16.787	~~~	-3.942	-7.127	-6.072	-8.397	~~~	~~~	-7.087	-8.721	~~~	~~~	-7.828	-8.958	~~~	~~~	-7.47	-5.862	~~~	~~~
5.1.13_090	-0.83	-1.241	~~~	-1.317	~~~	-9.79	-12.468	~~~	-13.5	~~~	-14.254	~~~	-3.698	-6.092	-5.364	-7.104	~~~	~~~	-6.143	-7.358	~~~	~~~	-6.711	-7.543	~~~	~~~	-6.741	-5.314	~~~	~~~
5.1.13_095	-4.507	-4.648	~~~	-4.71	~~~	-8.513	-10.603	~~~	-11.396	~~~	-11.975	~~~	-3.356	-5.158	-4.643	-5.96	~~~	~~~	-5.237	-6.159	~~~	~~~	-5.671	-6.304	~~~	~~~	-5.998	-4.745	~~~	~~~
5.1.13_100	-6.436	-6.423	-6.416	-6.475	-6.48	-7.278	-8.895	-8.87	-9.505	-9.739	-9.95	-9.985	-2.957	-4.321	-3.941	-4.954	-3.926	-4.943	-4.394	-5.111	-4.578	-5.162	-4.725	-5.225	-4.77	-5.215	-5.248	-4.166	-6.952	-5.631
5.1.13_105	-7.27	-7.173	~~~	-7.218	~~~	-6.133	-7.378	~~~	-7.848	~~~	-8.191	~~~	-2.548	-3.586	-3.294	-4.084	~~~	~~~	-3.64	-4.208	~~~	~~~	-3.892	-4.299	~~~	~~~	-4.523	-3.604	~~~	~~~
5.1.13_110	-7.433	-7.294	~~~	-7.33	~~~	-5.115	-6.071	~~~	-6.434	~~~	-6.7	~~~	-2.162	-2.953	-2.725	-3.346	~~~	~~~	-2.989	-3.445	~~~	~~~	-3.182	-3.518	~~~	~~~	-3.85	-3.08	~~~	~~~
5.1.13_125	-6.187	-6.034	~~~	-6.042	~~~	-2.881	-3.311	~~~	-3.483	~~~	-3.608	~~~	-1.264	-1.617	-1.501	-1.81	~~~	~~~	-1.621	-1.862	~~~	~~~	-1.709	-1.9	~~~	~~~	-2.272	-1.845	~~~	~~~
5.1.13_150	-3.468	-3.392	~~~	-3.385	~~~	-1.116	-1.227	~~~	-1.276	~~~	-1.312	~~~	-0.506	-0.609	-0.557	-0.67	~~~	~~~	-0.59	-0.686	~~~	~~~	-0.614	-0.698	~~~	~~~	-0.904	-0.754	~~~	~~~
5.1.13_200	-1.066	-1.048	~~~	-1.045	~~~	-0.21	-0.212	~~~	-0.218	~~~	-0.223	~~~	-0.094	-0.117	-0.09	-0.122	~~~	~~~	-0.094	-0.124	~~~	~~~	-0.098	-0.125	~~~	~~~	-0.154	-0.135	~~~	~~~
5.1.14_080	10.935	10.876	10.885	10.812	10.809	-9.137	-10.832	-10.79	-11.364	-11.572	-11.751	-11.791	-4.201	-4.936	-5.303	-5.529	-5.276	-5.514	-5.7	-5.664	-5.867	-5.706	-5.99	-5.762	-6.042	-5.749	-6.702	-5.451	-8.464	-6.973
5.1.14_085	5.63	5.687	~~~	5.641	~~~	-7.445	-8.692	~~~	-9.076	~~~	-9.356	~~~	-3.449	-3.995	-4.252	-4.44	~~~	~~~	-4.536	-4.54	~~~	~~~	-4.743	-4.613	~~~	~~~	-5.592	-4.56	~~~	~~~
5.1.14_090	2.302	2.413	~~~	2.383	~~~	-6.051	-6.964	~~~	-7.242	~~~	-7.444	~~~	-2.822	-3.229	-3.403	-3.561	~~~	~~~	-3.606	-3.636	~~~	~~~	-3.754	-3.691	~~~	~~~	-4.641	-3.79	~~~	~~~
